IMPORTANT NOTE: Because of this description, this file is not valid input for attack_from_data. To test these flows as input, use simple-example-valid.txt

The following logs are in the required format for attack_from_data.py. The format is as follows:

timestamp (string) version (int) account (string) interfaceid (string) sourceaddress (string) destinationaddress (string) sourceport (int) destinationport (int) protocol (int) numpackets (int) numbytes (int) starttime (string) endtime (string) action (string) logstatus (string)

2018-01-08T00:01:10.000Z 2 960174887839 eni-e2771495 110.53.183.252 172.31.26.241 43077 22 6 13 1755 1515369670 1515369682 ACCEPT OK
2018-01-08T00:01:10.000Z 2 960174887839 eni-e2771495 172.31.26.241 110.53.183.252 22 43077 6 12 3203 1515369670 1515369682 ACCEPT OK
2018-01-08T00:01:25.000Z 2 960174887839 eni-e2771495 110.53.183.252 172.31.26.241 43077 22 6 4 260 1515369685 1515369742 ACCEPT OK
2018-01-08T00:01:25.000Z 2 960174887839 eni-e2771495 172.31.26.241 110.53.183.252 22 43077 6 3 208 1515369685 1515369742 ACCEPT OK
2018-01-08T00:01:25.000Z 2 960174887839 eni-e2771495 179.32.199.82 172.31.26.241 43001 22 6 1 40 1515627496 1515627550 REJECT OK
2018-01-08T00:01:25.000Z 2 960174887839 eni-e2771495 192.99.35.116 172.31.26.241 33616 5007 6 1 40 1515369685 1515369742 REJECT OK
2018-01-08T00:02:36.000Z 2 960174887839 eni-e2771495 121.58.202.202 172.31.26.241 57282 1433 6 1 40 1515369756 1515369802 REJECT OK
2018-01-08T00:03:34.000Z 2 960174887839 eni-e2771495 191.101.167.83 172.31.26.241 42384 40047 6 1 40 1515369814 1515369862 REJECT OK
2018-01-08T00:03:34.000Z 2 960174887839 eni-e2771495 181.214.87.12 172.31.26.241 49813 9501 6 1 40 1515369814 1515369862 REJECT OK
2018-01-08T00:06:48.000Z 2 960174887839 eni-e2771495 217.21.193.20 172.31.26.241 48923 443 6 1 44 1515370008 1515370043 REJECT OK
2018-01-08T00:06:48.000Z 2 960174887839 eni-e2771495 217.21.193.20 172.31.26.241 48922 443 6 1 44 1515370008 1515370043 REJECT OK
2018-01-08T00:06:48.000Z 2 960174887839 eni-e2771495 217.21.193.20 172.31.26.241 0 0 1 2 56 1515370008 1515370043 REJECT OK
2018-01-10T23:38:16.000Z 2 960174887839 eni-e2771495 179.32.199.82 172.31.26.241 43001 22 6 1 40 1515627496 1515627550 REJECT OK
